"epoch","dataset","metric_test","metric"
"0","AMES","0.8079572036638233","0.8374577864770192"
"0","BBB_Martins","0.8672845583817391","0.8892533284975084"
"0","Bioavailability_Ma","0.6395330685134947","0.6741353646353646"
"0","CYP1A2_Veith","0.8995262929447374","0.9130029099753336"
"0","CYP2C19_Veith","0.8484697775818985","0.8843406661774728"
"0","CYP2C9_Substrate_CarbonMangels","0.6189503099789084","0.5351714862062429"
"0","CYP2C9_Veith","0.856265309370875","0.8762689974039812"
"0","CYP2D6_Substrate_CarbonMangels","0.7410340905347392","0.4510493827160494"
"0","CYP2D6_Veith","0.8256346677346592","0.843614140941993"
"0","CYP3A4_Substrate_CarbonMangels","0.5861445736732029","0.4465369599928423"
"0","CYP3A4_Veith","0.8663672263395588","0.8658008171375136"
"0","Carcinogens_Lagunin","0.7819263552813394","0.9452991452991452"
"0","ClinTox","0.667370753095504","0.7200773266172855"
"0","DILI","0.8518474279319793","0.8612775921925634"
"0","HIA_Hou","0.9268824674555212","0.9476420987179452"
"0","HIV","0.7249235500165678","0.7887686338438723"
"0","Pgp_Broccatelli","0.8453647454038691","0.9175797010641304"
"0","Skin__Reaction","0.5360236105238317","0.5243211415347637"
"0","Tox21","0.7677446005862432","0.76570888751461"
"0","hERG","0.7680682973038968","0.7718741652127031"
"5","AMES","0.8218379161085794","0.850617969387741"
"5","BBB_Martins","0.8740733879844775","0.8998339380737264"
"5","Bioavailability_Ma","0.5953592259583937","0.5433183483183484"
"5","CYP1A2_Veith","0.9056849876755868","0.919158670465574"
"5","CYP2C19_Veith","0.8622341901434778","0.8905049424624792"
"5","CYP2C9_Substrate_CarbonMangels","0.6501662570924427","0.5784141635036109"
"5","CYP2C9_Veith","0.8660015961017509","0.8812919489937638"
"5","CYP2D6_Substrate_CarbonMangels","0.7536016755272914","0.7783924614886407"
"5","CYP2D6_Veith","0.8292633781354691","0.8482694861054962"
"5","CYP3A4_Substrate_CarbonMangels","0.6001397743276471","0.703281122031122"
"5","CYP3A4_Veith","0.8804709898660865","0.8722784317907142"
"5","Carcinogens_Lagunin","0.8386694222179376","0.7722222222222223"
"5","ClinTox","0.647716528984679","0.7695542850313969"
"5","DILI","0.8540349728390841","0.8793823885829635"
"5","HIA_Hou","0.9422624932992512","0.9525367928647775"
"5","HIV","0.7406938750480102","0.6526695694704051"
"5","Pgp_Broccatelli","0.8526984129700537","0.9250905739382312"
"5","Skin__Reaction","0.5501110144462643","0.5520402610805089"
"5","Tox21","0.7713947840577708","0.7980982994082548"
"5","hERG","0.7679787414191879","0.7647084953930329"
"10","AMES","0.8174667720902329","0.8515935368525012"
"10","BBB_Martins","0.8763208651589499","0.8998525776326662"
"10","Bioavailability_Ma","0.5935993825171985","0.5695238095238095"
"10","CYP1A2_Veith","0.9059992704386006","0.9183813582481172"
"10","CYP2C19_Veith","0.8628686654495648","0.8925254430575815"
"10","CYP2C9_Substrate_CarbonMangels","0.6598498754571236","0.7078699743643826"
"10","CYP2C9_Veith","0.8654896314132235","0.8857331717833192"
"10","CYP2D6_Substrate_CarbonMangels","0.7561949513041665","0.7826372528315876"
"10","CYP2D6_Veith","0.8369694400418451","0.8520534116369187"
"10","CYP3A4_Substrate_CarbonMangels","0.5884140435883791","0.5869465808436397"
"10","CYP3A4_Veith","0.8809077720961828","0.8799966587044523"
"10","Carcinogens_Lagunin","0.8385682380539221","0.5694444444444444"
"10","ClinTox","0.6439492314317986","0.7635647659882825"
"10","DILI","0.8466184303284386","0.8758567531723769"
"10","HIA_Hou","0.9316675522537492","0.9582636430038706"
"10","HIV","0.7290853074564654","0.8051263779761705"
"10","Pgp_Broccatelli","0.8644310199960316","0.9246895549882336"
"10","Skin__Reaction","0.553658753829917","0.5373121529313479"
"10","Tox21","0.7727817478037708","0.7999550846829943"
"10","hERG","0.7679177554990769","0.4659913048937438"
"15","AMES","0.8225372652581975","0.8499954114008867"
"15","BBB_Martins","0.8735363623121664","0.900071324410811"
"15","Bioavailability_Ma","0.5984558333767181","0.5795670995670996"
"15","CYP1A2_Veith","0.9103818305069412","0.9162397724798252"
"15","CYP2C19_Veith","0.8624091921589103","0.8933274970608822"
"15","CYP2C9_Substrate_CarbonMangels","0.6673864121862662","0.5871550926569118"
"15","CYP2C9_Veith","0.8677190032424431","0.8866978256313434"
"15","CYP2D6_Substrate_CarbonMangels","0.7660269232803681","0.770584320525032"
"15","CYP2D6_Veith","0.8385666641598057","0.8508940613868775"
"15","CYP3A4_Substrate_CarbonMangels","0.5910746168014622","0.6130437150290091"
"15","CYP3A4_Veith","0.8803453761794711","0.8804674556109884"
"15","Carcinogens_Lagunin","0.8375604534207397","0.3628205128205128"
"15","ClinTox","0.6537711917393192","0.7384585030303393"
"15","DILI","0.83162713798752","0.8639058678311221"
"15","HIA_Hou","0.9440097387171482","0.9627754251356428"
"15","HIV","0.7296596142024943","0.8061857586866861"
"15","Pgp_Broccatelli","0.8644996364116464","0.9278805518225476"
"15","Skin__Reaction","0.5834152747018735","0.6452769847971087"
"15","Tox21","0.7737321880300466","0.7722681055696708"
"15","hERG","0.7754472148551341","0.7806129669281335"
"20","AMES","0.8163338370121067","0.8544358574723183"
"20","BBB_Martins","0.8710308087126005","0.9010836075665312"
"20","Bioavailability_Ma","0.6017512072375062","0.5561648351648352"
"20","CYP1A2_Veith","0.9113702197846476","0.9171576247430084"
"20","CYP2C19_Veith","0.8652471974185667","0.8951841925986577"
"20","CYP2C9_Substrate_CarbonMangels","0.6797003854697392","0.5794305607567126"
"20","CYP2C9_Veith","0.8681983130592474","0.8877302439135815"
"20","CYP2D6_Substrate_CarbonMangels","0.771844458757862","0.7762519787585663"
"20","CYP2D6_Veith","0.8428057561088252","0.8523916081598635"
"20","CYP3A4_Substrate_CarbonMangels","0.582733166791234","0.605208303223009"
"20","CYP3A4_Veith","0.8818716549255928","0.8817267146596528"
"20","Carcinogens_Lagunin","0.8384638002506508","0.7683760683760684"
"20","ClinTox","0.6499435031124945","0.737237823251846"
"20","DILI","0.8439423402455795","0.8646837345538142"
